date;hour;dayAheadPrice
2016-01-24;'14 - 15;24,84
2016-01-18;'15 - 16;49,53
2016-01-19;'15 - 16;55,5
2016-01-20;'15 - 16;52,42
2016-01-21;'15 - 16;61,05
2016-01-22;'15 - 16;32,65
2016-01-23;'15 - 16;29,1
2016-01-24;'15 - 16;23,99
2016-01-18;'16 - 17;49,66
2016-01-19;'16 - 17;56,21
2016-01-20;'16 - 17;72,01
2016-01-21;'16 - 17;57,43
2016-01-22;'16 - 17;32,84
2016-01-23;'16 - 17;29,7
2016-01-24;'16 - 17;25,04
2016-01-18;'17 - 18;62,55
2016-01-19;'17 - 18;70,07
2016-01-20;'17 - 18;92,75
2016-01-21;'17 - 18;77,13
2016-01-22;'17 - 18;34,83
2016-01-23;'17 - 18;36,97
2016-01-24;'17 - 18;32,88
2016-01-18;'18 - 19;56,07
2016-01-19;'18 - 19;74,97
2016-01-20;'18 - 19;79,09
2016-01-21;'18 - 19;86,01
2016-01-22;'18 - 19;28,3
2016-01-23;'18 - 19;42,6
2016-01-24;'18 - 19;36,09
2016-01-18;'19 - 20;47,18
2016-01-19;'19 - 20;57,56
2016-01-20;'19 - 20;70,03
2016-01-21;'19 - 20;60,13
2016-01-22;'19 - 20;26,88
2016-01-23;'19 - 20;35,83
2016-01-24;'19 - 20;35,87
2016-01-18;'20 - 21;35,09
2016-01-19;'20 - 21;48,24
2016-01-20;'20 - 21;50,1
2016-01-21;'20 - 21;50,09
2016-01-22;'20 - 21;25,46
2016-01-23;'20 - 21;28,84
2016-01-24;'20 - 21;31,7
2016-01-18;'21 - 22;26,95
2016-01-19;'21 - 22;37,98
2016-01-20;'21 - 22;40,06
2016-01-21;'21 - 22;35,47
2016-01-22;'21 - 22;24,88
2016-01-23;'21 - 22;25,4
2016-01-24;'21 - 22;26,0
2016-01-18;'22 - 23;26,94
2016-01-19;'22 - 23;33,67
2016-01-20;'22 - 23;33,52
2016-01-21;'22 - 23;30,36
2016-01-22;'22 - 23;24,28
2016-01-23;'22 - 23;26,27
2016-01-24;'22 - 23;27,09
2016-01-18;'23 - 24;25,09
2016-01-19;'23 - 24;29,79
2016-01-20;'23 - 24;29,63
2016-01-21;'23 - 24;26,97
2016-01-22;'23 - 24;22,63
2016-01-23;'23 - 24;27,06
2016-01-24;'23 - 24;22,44
2016-01-25;'00 - 01;20,07
2016-01-26;'00 - 01;20,23
2016-01-27;'00 - 01;10,97
2016-01-28;'00 - 01;14,5
2016-01-29;'00 - 01;21,1
2016-01-30;'00 - 01;14,08
2016-01-31;'00 - 01;8,43
2016-01-25;'01 - 02;19,65
2016-01-26;'01 - 02;18,02
2016-01-27;'01 - 02;3,18
2016-01-28;'01 - 02;12,83
2016-01-29;'01 - 02;19,53
2016-01-30;'01 - 02;8,4
2016-01-31;'01 - 02;3,04
2016-01-25;'02 - 03;19,68
2016-01-26;'02 - 03;15,9
2016-01-27;'02 - 03;0,05
2016-01-28;'02 - 03;12,88
2016-01-29;'02 - 03;19,06
2016-01-30;'02 - 03;0,79
2016-01-31;'02 - 03;5,09
2016-01-25;'03 - 04;19,98
2016-01-26;'03 - 04;15,91
2016-01-27;'03 - 04;0,13
2016-01-28;'03 - 04;12,14
2016-01-29;'03 - 04;18,08
2016-01-30;'03 - 04;0,0
2016-01-31;'03 - 04;0,85
2016-01-25;'04 - 05;20,33
2016-01-26;'04 - 05;17,1
2016-01-27;'04 - 05;8,82
2016-01-28;'04 - 05;13,2
2016-01-29;'04 - 05;15,96
2016-01-30;'04 - 05;-0,02
2016-01-31;'04 - 05;-0,27
2016-01-25;'05 - 06;21,32
2016-01-26;'05 - 06;21,8
2016-01-27;'05 - 06;13,3
2016-01-28;'05 - 06;17,39
2016-01-29;'05 - 06;18,01
2016-01-30;'05 - 06;-0,04
2016-01-31;'05 - 06;0,03
2016-01-25;'06 - 07;25,01
2016-01-26;'06 - 07;27,09
2016-01-27;'06 - 07;17,33
2016-01-28;'06 - 07;23,41
2016-01-29;'06 - 07;26,0
2016-01-30;'06 - 07;-2,97
2016-01-31;'06 - 07;0,08
2016-01-25;'07 - 08;34,94
2016-01-26;'07 - 08;34,13
2016-01-27;'07 - 08;22,97
2016-01-28;'07 - 08;28,49
2016-01-29;'07 - 08;34,89
2016-01-30;'07 - 08;8,51
2016-01-31;'07 - 08;6,04
2016-01-25;'08 - 09;35,0
2016-01-26;'08 - 09;38,11
2016-01-27;'08 - 09;23,93
2016-01-28;'08 - 09;30,96
2016-01-29;'08 - 09;36,06
2016-01-30;'08 - 09;12,42
2016-01-31;'08 - 09;8,33
2016-01-25;'09 - 10;36,04
2016-01-26;'09 - 10;32,31
2016-01-27;'09 - 10;28,95
2016-01-28;'09 - 10;29,97
2016-01-29;'09 - 10;34,94
2016-01-30;'09 - 10;13,78
2016-01-31;'09 - 10;10,59
2016-01-25;'10 - 11;36,62
2016-01-26;'10 - 11;29,99
2016-01-27;'10 - 11;29,94
2016-01-28;'10 - 11;29,07
2016-01-29;'10 - 11;29,91
2016-01-30;'10 - 11;14,22
2016-01-31;'10 - 11;11,91
2016-01-25;'11 - 12;35,6
2016-01-26;'11 - 12;29,55
2016-01-27;'11 - 12;25,55
2016-01-28;'11 - 12;25,21
2016-01-29;'11 - 12;25,43
2016-01-30;'11 - 12;14,69
2016-01-31;'11 - 12;14,68
2016-01-25;'12 - 13;34,75
2016-01-26;'12 - 13;28,52
2016-01-27;'12 - 13;24,12
2016-01-28;'12 - 13;24,01
2016-01-29;'12 - 13;21,83
2016-01-30;'12 - 13;14,27
2016-01-31;'12 - 13;16,18
2016-01-25;'13 - 14;32,26
2016-01-26;'13 - 14;29,33
2016-01-27;'13 - 14;22,95
2016-01-28;'13 - 14;25,56
2016-01-29;'13 - 14;20,03
2016-01-30;'13 - 14;14,6
2016-01-31;'13 - 14;12,5
2016-01-25;'14 - 15;30,61
2016-01-26;'14 - 15;27,97
2016-01-27;'14 - 15;20,95
2016-01-28;'14 - 15;26,73
2016-01-29;'14 - 15;19,1
2016-01-30;'14 - 15;14,28
2016-01-31;'14 - 15;13,96
2016-01-25;'15 - 16;29,73
2016-01-26;'15 - 16;30,09
2016-01-27;'15 - 16;23,91
2016-01-28;'15 - 16;31,02
2016-01-29;'15 - 16;19,39
2016-01-30;'15 - 16;15,37
2016-01-31;'15 - 16;13,89
2016-01-25;'16 - 17;31,17
2016-01-26;'16 - 17;30,62
2016-01-27;'16 - 17;23,97
2016-01-28;'16 - 17;33,58
2016-01-29;'16 - 17;22,54
2016-01-30;'16 - 17;16,03
2016-01-31;'16 - 17;16,08
2016-01-25;'17 - 18;34,96
2016-01-26;'17 - 18;32,87
